pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,847.92
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,848.74
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,847.71
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,848.38
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,850.09
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,848.05
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,848.29
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,847.13
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,849.11
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,849.67
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,849.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,844.21
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,849.11
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,847.85
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,847.85
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,847.55
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,849.09
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,849.97
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,846.41
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,849.11
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,847.13
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,847.13
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,847.55
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,850.25
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,850.77
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,847.73
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,849.11
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,847.85
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,848.29
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,851.32
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,848.27
