candidate_id,family,target_mode,outlier_policy,validation_month,fit_rows,validation_rows,smearing_factor,fit_seconds,rmse,mae,r2
ridge__raw__config_1,ridge,raw,all_rows,2025-07,28806,4912,1.0,1.8910191909999412,693.2283317092161,368.0700456256492,0.7877729398005545
ridge__raw__config_1,ridge,raw,all_rows,2025-08,33718,4759,1.0,1.4635527119971812,627.6730372643909,160.56702074522565,0.8188717699319643
ridge__raw__config_1,ridge,raw,all_rows,2025-09,38477,4670,1.0,0.4910428770017461,632.0618646246722,163.4930046862702,0.8278383574888882
ridge__raw__config_2,ridge,raw,all_rows,2025-07,28806,4912,1.0,1.8643120800006727,680.8141792241637,338.7059279087731,0.7953058951948786
ridge__raw__config_2,ridge,raw,all_rows,2025-08,33718,4759,1.0,2.137878917001217,627.6728229746741,160.99050864456686,0.818871893607535
ridge__raw__config_2,ridge,raw,all_rows,2025-09,38477,4670,1.0,2.5095267230026366,631.7275209319821,162.38721768091796,0.828020447054377
ridge__raw__config_3,ridge,raw,all_rows,2025-07,28806,4912,1.0,1.6918424050018075,661.0349831107995,285.2227176174027,0.8070267824062392
ridge__raw__config_3,ridge,raw,all_rows,2025-08,33718,4759,1.0,1.6688370109986863,626.9067153947057,161.38081240664775,0.819313776467661
ridge__raw__config_3,ridge,raw,all_rows,2025-09,38477,4670,1.0,0.6170691290026298,629.5940433065838,156.4079495609664,0.8291801082755997
ridge__raw__config_4,ridge,raw,all_rows,2025-07,28806,4912,1.0,0.3384430549995159,648.8712118662588,244.72999565921674,0.8140632807693138
ridge__raw__config_4,ridge,raw,all_rows,2025-08,33718,4759,1.0,1.7209625739997136,625.3256855635266,160.98041893574992,0.820223991907397
ridge__raw__config_4,ridge,raw,all_rows,2025-09,38477,4670,1.0,2.9239974660013104,626.0850184959987,146.02077327193282,0.8310789217845976
ridge__log__config_1,ridge,log,all_rows,2025-07,28806,4912,1.0129070963996953,0.6207611989993893,654.4377167032363,244.9300521251168,0.8108593869687568
ridge__log__config_1,ridge,log,all_rows,2025-08,33718,4759,1.0128527040405926,0.5088379199987685,613.8887089788634,106.87702031259563,0.8267399289333289
ridge__log__config_1,ridge,log,all_rows,2025-09,38477,4670,1.012903011638357,2.515667828000005,621.3263677343767,119.13061546657171,0.8336369819703932
ridge__log__config_2,ridge,log,all_rows,2025-07,28806,4912,1.0129135788741899,1.9070780820002255,648.8196250675201,228.23882325618965,0.8140928444135288
ridge__log__config_2,ridge,log,all_rows,2025-08,33718,4759,1.0128548588510853,1.7230795550021867,613.8396736379008,107.6311864924647,0.8267676066776015
ridge__log__config_2,ridge,log,all_rows,2025-09,38477,4670,1.0129041918764423,0.7360907180009235,621.2760038980356,119.00139249192041,0.8336639511790616
ridge__log__config_3,ridge,log,all_rows,2025-07,28806,4912,1.0129605474655081,2.146709782999096,646.2876459244602,219.36431729601046,0.8155409959731535
ridge__log__config_3,ridge,log,all_rows,2025-08,33718,4759,1.0128927020619225,2.175505571998656,613.2781669561458,106.38655089110809,0.8270843886041607
ridge__log__config_3,ridge,log,all_rows,2025-09,38477,4670,1.0129319095179299,2.3300953040015884,622.1620650305604,121.38704867146947,0.8331891573482473
ridge__log__config_4,ridge,log,all_rows,2025-07,28806,4912,1.0131534173730108,0.488023426001746,646.888399032416,216.8617360253672,0.8151979108961668
ridge__log__config_4,ridge,log,all_rows,2025-08,33718,4759,1.0130740398231377,1.785956645002443,613.4425386841601,108.19211136735335,0.8269916859831007
ridge__log__config_4,ridge,log,all_rows,2025-09,38477,4670,1.0130837279695675,2.7216402039994136,621.9581096731027,121.87850124169516,0.8332985063120044
extra_trees__raw__config_1,extra_trees,raw,all_rows,2025-07,28806,4912,1.0,26.21928850599943,752.0490873213124,198.84257608916937,0.7502298538838904
extra_trees__raw__config_1,extra_trees,raw,all_rows,2025-08,33718,4759,1.0,31.70573375699678,731.2280543393007,236.3831507669679,0.7541756568745795
extra_trees__raw__config_1,extra_trees,raw,all_rows,2025-09,38477,4670,1.0,29.597333144000004,721.6008973419587,172.40021928979306,0.7756059430136183
extra_trees__raw__config_2,extra_trees,raw,all_rows,2025-07,28806,4912,1.0,9.90801363099672,656.1879615829034,152.63239971658604,0.8098463491956306
extra_trees__raw__config_2,extra_trees,raw,all_rows,2025-08,33718,4759,1.0,12.545887248998042,655.223287650472,199.03808798715133,0.8026224081470315
extra_trees__raw__config_2,extra_trees,raw,all_rows,2025-09,38477,4670,1.0,14.19936147199769,629.3562734971782,130.96276995422772,0.8293091061405957
extra_trees__raw__config_3,extra_trees,raw,all_rows,2025-07,28806,4912,1.0,15.347031784000137,694.5418663205807,177.05560039917174,0.7869679187654632
extra_trees__raw__config_3,extra_trees,raw,all_rows,2025-08,33718,4759,1.0,17.99029486099971,689.9168316790955,220.86057935616697,0.7811670687397708
