candidate_id,family,target_mode,outlier_policy,params,fold_count,mean_rmse,median_rmse,mean_mae,mean_r2,total_fit_seconds
hist_gradient_boosting__log__config_1,hist_gradient_boosting,log,all_rows,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.04, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 31}",3,623.2911672915656,621.9813568089805,126.90191694243056,0.8274324607612377,10.408125072000985
extra_trees__log__config_4,extra_trees,log,all_rows,"{""model__max_depth"": 32, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 8}",3,626.4008978063255,630.4898798352714,133.9927163310204,0.8256030441868317,31.428070246998686
hist_gradient_boosting__log__config_4,hist_gradient_boosting,log,all_rows,"{""model__l2_regularization"": 10.0, ""model__learning_rate"": 0.08, ""model__max_iter"": 180, ""model__max_leaf_nodes"": 31}",3,626.8496875192559,622.4663023291242,137.25015602696885,0.825423389574472,10.010479161996045
hist_gradient_boosting__log__config_3,hist_gradient_boosting,log,all_rows,"{""model__l2_regularization"": 5.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 300, ""model__max_leaf_nodes"": 63}",3,626.9318192989064,627.4410856356145,137.6977633500401,0.8253604959015144,23.64117419899776
ridge__log__config_3,ridge,log,all_rows,"{""model__alpha"": 20.0}",3,627.2426259703888,622.1620650305604,149.04597228619602,0.8252715139751872,6.65231065899934
ridge__log__config_4,ridge,log,all_rows,"{""model__alpha"": 100.0}",3,627.4296824632262,621.9581096731027,148.97744954480524,0.8251627010637573,4.995620275003603
ridge__log__config_2,ridge,log,all_rows,"{""model__alpha"": 1.0}",3,627.9784342011521,621.2760038980356,151.62380074685825,0.8248414674233974,4.366248355003336
hist_gradient_boosting__raw__normal_labels_only,hist_gradient_boosting,raw,normal_labels_only,"{""model__l2_regularization"": 2.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 220, ""model__max_leaf_nodes"": 63}",3,629.2585093522626,625.0694604828246,144.0344672589225,0.8240899954015265,15.798028646000603
hist_gradient_boosting__log__config_2,hist_gradient_boosting,log,all_rows,"{""model__l2_regularization"": 2.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 220, ""model__max_leaf_nodes"": 63}",3,629.5087553077078,628.6332880295719,146.50085440716998,0.8239095123043195,16.991112540999893
ridge__log__config_1,ridge,log,all_rows,"{""model__alpha"": 0.1}",3,629.8842644721589,621.3263677343767,156.97922930142803,0.8237454326241597,3.645266946998163
extra_trees__log__config_2,extra_trees,log,all_rows,"{""model__max_depth"": null, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 4}",3,630.4369555000047,636.1453848966787,140.6725121880406,0.823365239350578,35.13188376999824
ridge__raw__config_4,ridge,raw,all_rows,"{""model__alpha"": 100.0}",3,633.4273053085948,626.0850184959987,183.91039595563316,0.8217887314871027,4.98340309500054
extra_trees__raw__config_4,extra_trees,raw,all_rows,"{""model__max_depth"": 32, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 8}",3,634.5771035086774,641.5751226911361,150.78833766581533,0.8209906134227042,31.900983079998696
hist_gradient_boosting__raw__config_1,hist_gradient_boosting,raw,all_rows,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.04, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 31}",3,637.3336218933331,637.179367817055,161.79302385272726,0.819418695738479,12.834967507995316
